id,parentId
"lemmeten","onderdelen van blanke wapens"
"lichtspoorkogels","kogels (munitie)"
"lonten (vuurwapenonderdelen)","slotonderdelen"
"lopen (vuurwapenonderdelen)","lopen en looponderdelen"
"lopen en looponderdelen","vuurwapenonderdelen"
"lyngbybijlen","bijlen (wapens)"
"machinegeweren","draagbare vuurwapens naar vorm"
"magische dolken","ceremoniële dolken"
"messen (wapens)","blanke wapens"
"mijnen (wapens)","explosieve wapens"
"munitie","wapens en munitie"
"munitie voor lichte wapens","munitie"
"munitieonderdelen","munitie"
"musketten","schoudervuurwapens"
"offermessen","bloedlaters"
"onderdelen van blanke wapens","blanke wapens"
"pantserdoorborende granaten","artilleriegranaten"
"patronen (munitie)","munitie voor lichte wapens"
"patroonhulzen","hulzen"
"patroonmunitie","artilleriemunitie"
"pieken","speren naar vorm"
"pijlen","projectielen met niet-explosieve voorstuwing"
"pijlonderdelen","projectielwapenonderdelen"
"pijlpunten","pijlonderdelen"
"pijlschachten","pijlonderdelen"
"pistolen","vuistvuurwapens"
"ploertendoders","slagwapens"
"polsmessen","fighting bracelets"
"ponjaards","dolken"
"projectielen met niet-explosieve voorstuwing","projectielwapens met niet-explosief voortstuwingsmiddel"
"projectiellanceerders met niet-explosief voortstuwingsmiddel","projectielwapens met niet-explosief voortstuwingsmiddel"
"projectielwapenonderdelen","projectielwapens"
"projectielwapens","wapens"
"projectielwapens met explosief voortstuwingsmiddel","projectielwapens"
"projectielwapens met niet-explosief voortstuwingsmiddel","projectielwapens"
"revolvers","draagbare vuurwapens naar vorm"
"sabels","zwaarden naar vorm"
"scalpeermessen","messen (wapens)"
"schermzwaarden","zwaarden naar functie"
"schichten","pijlen"
"schijfmessen","ceremoniële messen"
"schoudervuurwapens","draagbare vuurwapens naar vorm"
"slaghoedjes (vuurwapenonderdelen)","slotonderdelen"
"slagwapenonderdelen","slagwapens"
"slagwapens","wapens"
"slagzwaarden","zwaarden naar vorm"
"slingers (projectielwapens)","projectiellanceerders met niet-explosief voortstuwingsmiddel"
"slingerstenen","projectielwapenonderdelen"
"sloten en slotonderdelen","vuurwapenonderdelen"
"slotonderdelen","sloten en slotonderdelen"
"snelmessen","messen (wapens)"
"speerpunten","stokwapenonderdelen"
"speerschachten","stokwapenonderdelen"
"speerwerpers","projectiellanceerders met niet-explosief voortstuwingsmiddel"
"speren","stokwapens"
"speren naar functie","speren"
"speren naar vorm","speren"
"spreidloopgeweren","hagelgeweren"
"steenslingers","slingers (projectielwapens)"
"stiletten","dolken"
"stokwapenonderdelen","onderdelen van blanke wapens"
"stokwapens","blanke wapens"
"stootsperen","speren naar vorm"
"strijdbijlen","bijlen (wapens)"
"tomahawks","bijlen (wapens)"
"varkenssperen","jachtsperen"
"vingermessen","vuistwapens"
"vissperen","speren naar functie"
"voetangels","projectielen met niet-explosieve voorstuwing"
"vogelpijlen","pijlen"
"vogelsperen","jachtsperen"
"voorladers","vuurwapens"
"vuistmessen","vuistwapens"
"vuistvuurwapens","draagbare vuurwapens naar vorm"
"vuistwapens","blanke wapens"
"vuursteengeweren","geweren"
"vuurstenen","slotonderdelen"
"vuurwapenonderdelen","projectielwapenonderdelen"
"vuurwapens","projectielwapens met explosief voortstuwingsmiddel"
"wapenonderdelen","wapens"
"wapens","wapens en munitie"
"wapens en munitie"
"werpbijlen","strijdbijlen"
"werphouten","projectielwapenonderdelen"
"werpmessen","projectielen met niet-explosieve voorstuwing"
"werppijlen","pijlen"
"werpschijven","projectielen met niet-explosieve voorstuwing"
"werpsperen","speren naar vorm"
"werpstokken (projectielen)","projectielen met niet-explosieve voorstuwing"
"wurgkoorden","wapens"
"zalmsperen","vissperen"
"zeemijnen","mijnen (wapens)"
"zestanden","stokwapens"
"zwaarden","blanke wapens"
"zwaarden naar functie","zwaarden"
"zwaarden naar vorm","zwaarden"
"zwaardsieraden","onderdelen van blanke wapens"
"zwaardstootplaten","zwaardsieraden"
